inventory_id,product_id,store_id,stock_quantity,last_updated
dedda34d-c0d2-4741-964b-f8166225f4d8,80a6d8fe-bb7d-4c24-9032-83dbded945b1,e64a1caa-52a9-4281-8ead-776a6dccb01d,108,2025-04-27
0af34bc1-f3a5-4128-b1fa-96a534ab777d,4d9764d4-b98d-4447-94f2-13bea4e165ab,e64a1caa-52a9-4281-8ead-776a6dccb01d,10,2025-04-27
d9a86cf4-3518-40ed-a6e5-043cca476d18,37d910e2-213c-4eb3-a0bf-39390ce17b63,e64a1caa-52a9-4281-8ead-776a6dccb01d,49,2025-04-27
3c47b65a-50a7-4f3d-b55d-ebda4abd18e8,5f5f0f27-f448-49d7-8c95-d927344f8f74,e64a1caa-52a9-4281-8ead-776a6dccb01d,97,2025-04-27
df475350-c207-40ee-afe8-b71556aef794,30ce940a-0430-4826-8761-08c26764be26,e64a1caa-52a9-4281-8ead-776a6dccb01d,52,2025-04-27
725ab20d-6206-4b9a-b324-f50c31a3d8f0,f4e5db6c-4f50-4927-b9e3-be48a452362b,e64a1caa-52a9-4281-8ead-776a6dccb01d,16,2025-04-27
250ed78f-6b80-4215-8cf2-12e94fd3d04b,7459fdf8-aff3-4292-922b-61401eeda4c7,e64a1caa-52a9-4281-8ead-776a6dccb01d,156,2025-04-27
aaf4e430-5e25-4920-9b2f-872ef50e0ce7,d98f8673-7f3c-47e3-8e75-c80ccd1643c5,e64a1caa-52a9-4281-8ead-776a6dccb01d,125,2025-04-27
23e112ce-3372-4ea0-910c-a2de4a35580a,c8596a81-f888-4969-8237-463431d6db33,e64a1caa-52a9-4281-8ead-776a6dccb01d,143,2025-04-27
f34b8514-3dc7-4103-860f-10617063d0fd,f48cf256-b1a4-4683-90aa-af102747d296,e64a1caa-52a9-4281-8ead-776a6dccb01d,194,2025-04-27
317e5fdb-5851-4dca-8e15-d5cf3f6a7f4c,9244f47c-92ee-4c14-9bd2-c012fe33196a,e64a1caa-52a9-4281-8ead-776a6dccb01d,42,2025-04-27
5ea61d60-4b9a-430f-9dcd-e7e5240b897b,196c7413-b31a-4fca-9fea-f22e43e3d4ce,e64a1caa-52a9-4281-8ead-776a6dccb01d,35,2025-04-27
2b4136b6-455d-4198-a2fe-cd0c286d9ebf,973f4df2-b806-4e49-a888-fd5dda35dabc,e64a1caa-52a9-4281-8ead-776a6dccb01d,151,2025-04-27
752b44f9-4cea-4017-869e-19f9c2fd26f4,03a33b98-18ee-490e-9bce-2a3024b15439,e64a1caa-52a9-4281-8ead-776a6dccb01d,142,2025-04-27
5e307013-6acd-4edf-903b-7e733f460932,d6daca9d-f605-449c-96d6-17b174697953,e64a1caa-52a9-4281-8ead-776a6dccb01d,104,2025-04-27
025f09ed-384b-492b-bb83-28145f2f06f7,07b3e4d1-4ed5-4482-a883-279b9063233d,e64a1caa-52a9-4281-8ead-776a6dccb01d,141,2025-04-27
076fdb17-de0e-430a-8a53-3de52ecc928e,03b2bebc-350e-47cd-8be3-864886cc3c83,e64a1caa-52a9-4281-8ead-776a6dccb01d,185,2025-04-27
6817565a-b183-48a0-8d7a-0f16efe4356c,17750dce-db0f-4999-80ca-b93ec79b48dc,e64a1caa-52a9-4281-8ead-776a6dccb01d,144,2025-04-27
2a853231-53ca-44e9-9d73-18124adb9244,fd877df6-251d-459a-8232-955a4901c4ba,e64a1caa-52a9-4281-8ead-776a6dccb01d,109,2025-04-27
d800818c-1a3a-45f8-b759-42b3ee169d9a,b8588308-1a6d-4bf7-879d-8113d11dfcdc,e64a1caa-52a9-4281-8ead-776a6dccb01d,188,2025-04-27
9b4e97e3-6df9-4807-abdd-1f47bf708552,9100ce34-5dad-4ecb-8394-886e279f2e17,e64a1caa-52a9-4281-8ead-776a6dccb01d,93,2025-04-27
5e0f39ac-dc8c-4b1f-bffe-f14a15c175a9,5ee4b490-9a00-4e0d-85c7-ce89f441da48,e64a1caa-52a9-4281-8ead-776a6dccb01d,90,2025-04-27
